Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,Gaming and Contest,0.9346,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['forget', 'participate']"
1,Gaming and Contest,0.5702,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['win', 'gem', 'tv', 'cambodian', 'play', 'quiz', 'net', 'celebrate', 'present', 'day', 'trip', 'laptop', 'playstation', 'iphone', 'add', 'million', 'cash', 'fash', 'wait', 'mix', 'profit']"
2,Gaming and Contest,0.9166,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service",['winner']
3,Services and Offers,0.9715,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['service', 'pass', 'roam', 'datum', 'dedicate', 'internet', 'travel', 'love', 'bash', 'check', 'stay', 'connecte']"
4,Services and Offers,0.9477,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['personality', 'use', 'voice']"
5,Services and Offers,0.9711,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['application', 'receette', 'recipe', 'bash', 'taste', 'classify', 'hand', 'download', 'app', 'play', 'store']"
6,Gaming and Contest,0.9663,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['winner', 'telecharger', 'enjoy', 'discount', 'internet', 'forfait', 'rid', 'debit', 'card']"
7,Others,0.5,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service",[]
8,Gaming and Contest,0.974,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['travel', 'like', 'stay', 'connecte', 'tunis', 'telecom', 'forfait', 'helmet', 'dinar', 'travel', 'price', 'cambodian', 'choose', 'pass', 'roam', 'datum']"
9,Services and Offers,0.9664,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['wheel', 'play', 'win', 'cash', 'gift', 'https', 'onelink', 'appli', 'win', 'play']"
10,Services and Offers,0.9369,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['pop', 'share']"
11,Gaming and Contest,0.9734,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['progress', 'understand', 'health', 'thing', 'world', 'improve', 'health', 'service', 'tower', 'tip', 'specialist', 'field', 'combo', 'enjoy', 'day', 'blush']"
12,Services and Offers,0.9691,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['debit', 'good', 'adsl', 'debit', 'bash', 'reach', 'price', 'st', 'information', 'link', 'bit']"
13,Gaming and Contest,0.9677,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['esport', 'tn', 'plug', 'win', 'coin', 'exchange', 'وequipement', 'game', 'fun']"
14,Services and Offers,0.965,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['know', 'joy', 'enter', 'com', 'try', 'culture', 'win', 'month']"
15,Services and Offers,0.9167,"win, play, month, year, enter, internet, dinar, like, winner, mytt",['tangmashi']
16,Gaming and Contest,0.9605,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['increase', 'knowledge', 'day', 'enjoy', 'udaily', 'service']"
17,Gaming and Contest,0.9526,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['turn', 'meow', 'connect', 'internet']"
18,Services and Offers,0.9468,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['tell', 'program', 'month']"
